 --- results/merged_results_corpus_lzbench_1753711437.csv_results_corpus_entropy_1757091573.csv.csv --- 
memcpy                |     Compression speed  |  Decompression speed   | +0.95530	<===
lzf 3.6 -0            |         Original size  |  Mean                  | +0.73784	<---
lzf 3.6 -0            |         Original size  |  Monte-Carlo-Pi        | -0.56564	<---
lzf 3.6 -0            |         Original size  |  Serial-Correlation    | -0.67652	<---
lzf 3.6 -0            |       Compressed size  |  Ratio                 | +0.39556
lzf 3.6 -0            |       Compressed size  |  File-bits             | +0.99604	<===
lzf 3.6 -0            |       Compressed size  |  Entropy               | +0.73460	<---
lzf 3.6 -0            |       Compressed size  |  Chi-square            | +0.95828	<===
lzf 3.6 -0            |       Compressed size  |  Mean                  | +0.74846	<---
lzf 3.6 -0            |       Compressed size  |  Monte-Carlo-Pi        | -0.62064	<---
lzf 3.6 -0            |       Compressed size  |  Serial-Correlation    | -0.62896	<---
lzf 3.6 -0            |                 Ratio  |  File-bits             | +0.33510
lzf 3.6 -0            |                 Ratio  |  Entropy               | +0.66779	<---
lzf 3.6 -0            |                 Ratio  |  Chi-square            | +0.25315
lzf 3.6 -0            |                 Ratio  |  Mean                  | +0.66990	<---
lzf 3.6 -0            |                 Ratio  |  Monte-Carlo-Pi        | -0.94506	<===
lzf 3.6 -0            |                 Ratio  |  Serial-Correlation    | +0.08878
lzf 3.6 -0            |             File-bits  |  Entropy               | +0.72590	<---
lzf 3.6 -0            |             File-bits  |  Chi-square            | +0.97350	<===
lzf 3.6 -0            |             File-bits  |  Mean                  | +0.73784	<---
lzf 3.6 -0            |             File-bits  |  Monte-Carlo-Pi        | -0.56564	<---
lzf 3.6 -0            |             File-bits  |  Serial-Correlation    | -0.67652	<---
lzf 3.6 -0            |               Entropy  |  Chi-square            | +0.63992	<---
lzf 3.6 -0            |               Entropy  |  Mean                  | +0.99878	<===
lzf 3.6 -0            |               Entropy  |  Monte-Carlo-Pi        | -0.77221	<---
lzf 3.6 -0            |               Entropy  |  Serial-Correlation    | -0.61294	<---
lzf 3.6 -0            |            Chi-square  |  Mean                  | +0.64516	<---
lzf 3.6 -0            |            Chi-square  |  Monte-Carlo-Pi        | -0.46300
lzf 3.6 -0            |            Chi-square  |  Serial-Correlation    | -0.69981	<---
lzf 3.6 -0            |                  Mean  |  Monte-Carlo-Pi        | -0.78117	<---
lzf 3.6 -0            |                  Mean  |  Serial-Correlation    | -0.60775	<---
lzf 3.6 -0            |        Monte-Carlo-Pi  |  Serial-Correlation    | +0.06090
lzf 3.6 -1            |     Compression speed  |  Decompression speed   | +0.98595	<===
lzf 3.6 -1            |     Compression speed  |  Original size         | -0.43595
lzf 3.6 -1            |     Compression speed  |  Compressed size       | -0.49838
lzf 3.6 -1            |     Compression speed  |  Ratio                 | -0.96159	<===
lzf 3.6 -1            |     Compression speed  |  File-bits             | -0.43595
lzf 3.6 -1            |     Compression speed  |  Entropy               | -0.70181	<---
lzf 3.6 -1            |     Compression speed  |  Chi-square            | -0.32087
lzf 3.6 -1            |     Compression speed  |  Mean                  | -0.71159	<---
lzf 3.6 -1            |     Compression speed  |  Monte-Carlo-Pi        | +0.98356	<===
lzf 3.6 -1            |     Compression speed  |  Serial-Correlation    | -0.06105
lzf 3.6 -1            |   Decompression speed  |  Original size         | -0.50979	<---
lzf 3.6 -1            |   Decompression speed  |  Compressed size       | -0.57303	<---
lzf 3.6 -1            |   Decompression speed  |  Ratio                 | -0.91972	<===
lzf 3.6 -1            |   Decompression speed  |  File-bits             | -0.50979	<---
lzf 3.6 -1            |   Decompression speed  |  Entropy               | -0.67375	<---
lzf 3.6 -1            |   Decompression speed  |  Chi-square            | -0.39851
lzf 3.6 -1            |   Decompression speed  |  Mean                  | -0.68740	<---
lzf 3.6 -1            |   Decompression speed  |  Monte-Carlo-Pi        | +0.97895	<===
lzf 3.6 -1            |   Decompression speed  |  Serial-Correlation    | -0.04938
lzf 3.6 -1            |         Original size  |  Compressed size       | +0.99609	<===
lzf 3.6 -1            |         Original size  |  Ratio                 | +0.32530
lzf 3.6 -1            |         Original size  |  File-bits             | +1.00000	<===
lzf 3.6 -1            |         Original size  |  Entropy               | +0.72590	<---
lzf 3.6 -1            |         Original size  |  Chi-square            | +0.97350	<===
lzf 3.6 -1            |         Original size  |  Mean                  | +0.73784	<---
lzf 3.6 -1            |         Original size  |  Monte-Carlo-Pi        | -0.56564	<---
lzf 3.6 -1            |         Original size  |  Serial-Correlation    | -0.67652	<---
lzf 3.6 -1            |       Compressed size  |  Ratio                 | +0.38575
lzf 3.6 -1            |       Compressed size  |  File-bits             | +0.99609	<===
lzf 3.6 -1            |       Compressed size  |  Entropy               | +0.73464	<---
lzf 3.6 -1            |       Compressed size  |  Chi-square            | +0.95851	<===
lzf 3.6 -1            |       Compressed size  |  Mean                  | +0.74847	<---
lzf 3.6 -1            |       Compressed size  |  Monte-Carlo-Pi        | -0.62049	<---
lzf 3.6 -1            |       Compressed size  |  Serial-Correlation    | -0.62921	<---
lzf 3.6 -1            |                 Ratio  |  File-bits             | +0.32530
lzf 3.6 -1            |                 Ratio  |  Entropy               | +0.66134	<---
lzf 3.6 -1            |                 Ratio  |  Chi-square            | +0.24405
lzf 3.6 -1            |                 Ratio  |  Mean                  | +0.66312	<---
lzf 3.6 -1            |                 Ratio  |  Monte-Carlo-Pi        | -0.94188	<===
lzf 3.6 -1            |                 Ratio  |  Serial-Correlation    | +0.09827
lzf 3.6 -1            |             File-bits  |  Entropy               | +0.72590	<---
lzf 3.6 -1            |             File-bits  |  Chi-square            | +0.97350	<===
lzf 3.6 -1            |             File-bits  |  Mean                  | +0.73784	<---
lzf 3.6 -1            |             File-bits  |  Monte-Carlo-Pi        | -0.56564	<---
lzf 3.6 -1            |             File-bits  |  Serial-Correlation    | -0.67652	<---
lzf 3.6 -1            |               Entropy  |  Chi-square            | +0.63992	<---
lzf 3.6 -1            |               Entropy  |  Mean                  | +0.99878	<===
lzf 3.6 -1            |               Entropy  |  Monte-Carlo-Pi        | -0.77221	<---
lzf 3.6 -1            |               Entropy  |  Serial-Correlation    | -0.61294	<---
lzf 3.6 -1            |            Chi-square  |  Mean                  | +0.64516	<---
lzf 3.6 -1            |            Chi-square  |  Monte-Carlo-Pi        | -0.46300
lzf 3.6 -1            |            Chi-square  |  Serial-Correlation    | -0.69981	<---
lzf 3.6 -1            |                  Mean  |  Monte-Carlo-Pi        | -0.78117	<---
lzf 3.6 -1            |                  Mean  |  Serial-Correlation    | -0.60775	<---
lzf 3.6 -1            |        Monte-Carlo-Pi  |  Serial-Correlation    | +0.06090
lzfse 2017-03-08      |     Compression speed  |  Decompression speed   | +0.94838	<===
lzfse 2017-03-08      |     Compression speed  |  Original size         | -0.24159
lzfse 2017-03-08      |     Compression speed  |  Compressed size       | -0.31704
lzfse 2017-03-08      |     Compression speed  |  Ratio                 | -0.93284	<===
lzfse 2017-03-08      |     Compression speed  |  File-bits             | -0.24159
lzfse 2017-03-08      |     Compression speed  |  Entropy               | -0.57583	<---
lzfse 2017-03-08      |     Compression speed  |  Chi-square            | -0.11570
lzfse 2017-03-08      |     Compression speed  |  Mean                  | -0.58586	<---
lzfse 2017-03-08      |     Compression speed  |  Monte-Carlo-Pi        | +0.92947	<===
lzfse 2017-03-08      |     Compression speed  |  Serial-Correlation    | -0.23398
lzfse 2017-03-08      |   Decompression speed  |  Original size         | +0.03510
lzfse 2017-03-08      |   Decompression speed  |  Compressed size       | -0.04876
lzfse 2017-03-08      |   Decompression speed  |  Ratio                 | -0.93923	<===
lzfse 2017-03-08      |   Decompression speed  |  File-bits             | +0.03510
lzfse 2017-03-08      |   Decompression speed  |  Entropy               | -0.32875
lzfse 2017-03-08      |   Decompression speed  |  Chi-square            | +0.15235
lzfse 2017-03-08      |   Decompression speed  |  Mean                  | -0.33840
lzfse 2017-03-08      |   Decompression speed  |  Monte-Carlo-Pi        | +0.77819	<---
lzfse 2017-03-08      |   Decompression speed  |  Serial-Correlation    | -0.46023
lzfse 2017-03-08      |         Original size  |  Compressed size       | +0.99595	<===
lzfse 2017-03-08      |         Original size  |  Ratio                 | +0.06778
lzfse 2017-03-08      |         Original size  |  File-bits             | +1.00000	<===
lzfse 2017-03-08      |         Original size  |  Entropy               | +0.72590	<---
lzfse 2017-03-08      |         Original size  |  Chi-square            | +0.97350	<===
lzfse 2017-03-08      |         Original size  |  Mean                  | +0.73784	<---
lzfse 2017-03-08      |         Original size  |  Monte-Carlo-Pi        | -0.56564	<---
lzfse 2017-03-08      |         Original size  |  Serial-Correlation    | -0.67652	<---
lzfse 2017-03-08      |       Compressed size  |  Ratio                 | +0.13917
lzfse 2017-03-08      |       Compressed size  |  File-bits             | +0.99595	<===
lzfse 2017-03-08      |       Compressed size  |  Entropy               | +0.73867	<---
lzfse 2017-03-08      |       Compressed size  |  Chi-square            | +0.95946	<===
lzfse 2017-03-08      |       Compressed size  |  Mean                  | +0.75219	<---
lzfse 2017-03-08      |       Compressed size  |  Monte-Carlo-Pi        | -0.62493	<---
lzfse 2017-03-08      |       Compressed size  |  Serial-Correlation    | -0.63036	<---
lzfse 2017-03-08      |                 Ratio  |  File-bits             | +0.06778
lzfse 2017-03-08      |                 Ratio  |  Entropy               | +0.49435
lzfse 2017-03-08      |                 Ratio  |  Chi-square            | -0.01028
lzfse 2017-03-08      |                 Ratio  |  Mean                  | +0.49297
lzfse 2017-03-08      |                 Ratio  |  Monte-Carlo-Pi        | -0.83477	<===
lzfse 2017-03-08      |                 Ratio  |  Serial-Correlation    | +0.29254
lzfse 2017-03-08      |             File-bits  |  Entropy               | +0.72590	<---
lzfse 2017-03-08      |             File-bits  |  Chi-square            | +0.97350	<===
lzfse 2017-03-08      |             File-bits  |  Mean                  | +0.73784	<---
lzfse 2017-03-08      |             File-bits  |  Monte-Carlo-Pi        | -0.56564	<---
lzfse 2017-03-08      |             File-bits  |  Serial-Correlation    | -0.67652	<---
lzfse 2017-03-08      |               Entropy  |  Chi-square            | +0.63992	<---
lzfse 2017-03-08      |               Entropy  |  Mean                  | +0.99878	<===
lzfse 2017-03-08      |               Entropy  |  Monte-Carlo-Pi        | -0.77221	<---
lzfse 2017-03-08      |               Entropy  |  Serial-Correlation    | -0.61294	<---
lzfse 2017-03-08      |            Chi-square  |  Mean                  | +0.64516	<---
lzfse 2017-03-08      |            Chi-square  |  Monte-Carlo-Pi        | -0.46300
lzfse 2017-03-08      |            Chi-square  |  Serial-Correlation    | -0.69981	<---
lzfse 2017-03-08      |                  Mean  |  Monte-Carlo-Pi        | -0.78117	<---
lzfse 2017-03-08      |                  Mean  |  Serial-Correlation    | -0.60775	<---
lzfse 2017-03-08      |        Monte-Carlo-Pi  |  Serial-Correlation    | +0.06090
lzo1b 2.10 -1         |     Compression speed  |  Decompression speed   | +0.96501	<===
lzo1b 2.10 -1         |     Compression speed  |  Original size         | -0.19087
lzo1b 2.10 -1         |     Compression speed  |  Compressed size       | -0.25489
lzo1b 2.10 -1         |     Compression speed  |  Ratio                 | -0.95071	<===
lzo1b 2.10 -1         |     Compression speed  |  File-bits             | -0.19087
lzo1b 2.10 -1         |     Compression speed  |  Entropy               | -0.50122	<---
lzo1b 2.10 -1         |     Compression speed  |  Chi-square            | -0.08591
lzo1b 2.10 -1         |     Compression speed  |  Mean                  | -0.50924	<---
lzo1b 2.10 -1         |     Compression speed  |  Monte-Carlo-Pi        | +0.89511	<===
lzo1b 2.10 -1         |     Compression speed  |  Serial-Correlation    | -0.32397
lzo1b 2.10 -1         |   Decompression speed  |  Original size         | -0.38398
lzo1b 2.10 -1         |   Decompression speed  |  Compressed size       | -0.44531
lzo1b 2.10 -1         |   Decompression speed  |  Ratio                 | -0.92368	<===
lzo1b 2.10 -1         |   Decompression speed  |  File-bits             | -0.38398
lzo1b 2.10 -1         |   Decompression speed  |  Entropy               | -0.63344	<---
lzo1b 2.10 -1         |   Decompression speed  |  Chi-square            | -0.25483
lzo1b 2.10 -1         |   Decompression speed  |  Mean                  | -0.64733	<---
lzo1b 2.10 -1         |   Decompression speed  |  Monte-Carlo-Pi        | +0.96035	<===
lzo1b 2.10 -1         |   Decompression speed  |  Serial-Correlation    | -0.16243
lzo1b 2.10 -1         |         Original size  |  Compressed size       | +0.99670	<===
lzo1b 2.10 -1         |         Original size  |  Ratio                 | +0.28922
lzo1b 2.10 -1         |         Original size  |  File-bits             | +1.00000	<===
lzo1b 2.10 -1         |         Original size  |  Entropy               | +0.72590	<---
lzo1b 2.10 -1         |         Original size  |  Chi-square            | +0.97350	<===
lzo1b 2.10 -1         |         Original size  |  Mean                  | +0.73784	<---
lzo1b 2.10 -1         |         Original size  |  Monte-Carlo-Pi        | -0.56564	<---
lzo1b 2.10 -1         |         Original size  |  Serial-Correlation    | -0.67652	<---
lzo1b 2.10 -1         |       Compressed size  |  Ratio                 | +0.34551
lzo1b 2.10 -1         |       Compressed size  |  File-bits             | +0.99670	<===
lzo1b 2.10 -1         |       Compressed size  |  Entropy               | +0.73461	<---
lzo1b 2.10 -1         |       Compressed size  |  Chi-square            | +0.96074	<===
lzo1b 2.10 -1         |       Compressed size  |  Mean                  | +0.74818	<---
lzo1b 2.10 -1         |       Compressed size  |  Monte-Carlo-Pi        | -0.61706	<---
lzo1b 2.10 -1         |       Compressed size  |  Serial-Correlation    | -0.63343	<---
lzo1b 2.10 -1         |                 Ratio  |  File-bits             | +0.28922
lzo1b 2.10 -1         |                 Ratio  |  Entropy               | +0.64140	<---
lzo1b 2.10 -1         |                 Ratio  |  Chi-square            | +0.21706
lzo1b 2.10 -1         |                 Ratio  |  Mean                  | +0.64112	<---
lzo1b 2.10 -1         |                 Ratio  |  Monte-Carlo-Pi        | -0.92223	<===
lzo1b 2.10 -1         |                 Ratio  |  Serial-Correlation    | +0.11523
lzo1b 2.10 -1         |             File-bits  |  Entropy               | +0.72590	<---
lzo1b 2.10 -1         |             File-bits  |  Chi-square            | +0.97350	<===
lzo1b 2.10 -1         |             File-bits  |  Mean                  | +0.73784	<---
lzo1b 2.10 -1         |             File-bits  |  Monte-Carlo-Pi        | -0.56564	<---
lzo1b 2.10 -1         |             File-bits  |  Serial-Correlation    | -0.67652	<---
lzo1b 2.10 -1         |               Entropy  |  Chi-square            | +0.63992	<---
lzo1b 2.10 -1         |               Entropy  |  Mean                  | +0.99878	<===
lzo1b 2.10 -1         |               Entropy  |  Monte-Carlo-Pi        | -0.77221	<---
lzo1b 2.10 -1         |               Entropy  |  Serial-Correlation    | -0.61294	<---
lzo1b 2.10 -1         |            Chi-square  |  Mean                  | +0.64516	<---
lzo1b 2.10 -1         |            Chi-square  |  Monte-Carlo-Pi        | -0.46300
lzo1b 2.10 -1         |            Chi-square  |  Serial-Correlation    | -0.69981	<---
lzo1b 2.10 -1         |                  Mean  |  Monte-Carlo-Pi        | -0.78117	<---
lzo1b 2.10 -1         |                  Mean  |  Serial-Correlation    | -0.60775	<---
lzo1b 2.10 -1         |        Monte-Carlo-Pi  |  Serial-Correlation    | +0.06090
lzo1c 2.10 -1         |     Compression speed  |  Decompression speed   | +0.94081	<===
lzo1c 2.10 -1         |     Compression speed  |  Original size         | -0.27461
lzo1c 2.10 -1         |     Compression speed  |  Compressed size       | -0.33909
lzo1c 2.10 -1         |     Compression speed  |  Ratio                 | -0.97003	<===
lzo1c 2.10 -1         |     Compression speed  |  File-bits             | -0.27461
lzo1c 2.10 -1         |     Compression speed  |  Entropy               | -0.58675	<---
lzo1c 2.10 -1         |     Compression speed  |  Chi-square            | -0.16953
lzo1c 2.10 -1         |     Compression speed  |  Mean                  | -0.59311	<---
lzo1c 2.10 -1         |     Compression speed  |  Monte-Carlo-Pi        | +0.93025	<===
lzo1c 2.10 -1         |     Compression speed  |  Serial-Correlation    | -0.22372
lzo1c 2.10 -1         |   Decompression speed  |  Original size         | -0.39399
lzo1c 2.10 -1         |   Decompression speed  |  Compressed size       | -0.46225
lzo1c 2.10 -1         |   Decompression speed  |  Ratio                 | -0.91498	<===
lzo1c 2.10 -1         |   Decompression speed  |  File-bits             | -0.39399
lzo1c 2.10 -1         |   Decompression speed  |  Entropy               | -0.61201	<---
lzo1c 2.10 -1         |   Decompression speed  |  Chi-square            | -0.26039
lzo1c 2.10 -1         |   Decompression speed  |  Mean                  | -0.62899	<---
lzo1c 2.10 -1         |   Decompression speed  |  Monte-Carlo-Pi        | +0.95110	<===
lzo1c 2.10 -1         |   Decompression speed  |  Serial-Correlation    | -0.16316
lzo1c 2.10 -1         |         Original size  |  Compressed size       | +0.99605	<===
lzo1c 2.10 -1         |         Original size  |  Ratio                 | +0.32920
lzo1c 2.10 -1         |         Original size  |  File-bits             | +1.00000	<===
lzo1c 2.10 -1         |         Original size  |  Entropy               | +0.72590	<---
lzo1c 2.10 -1         |         Original size  |  Chi-square            | +0.97350	<===
lzo1c 2.10 -1         |         Original size  |  Mean                  | +0.73784	<---
lzo1c 2.10 -1         |         Original size  |  Monte-Carlo-Pi        | -0.56564	<---
lzo1c 2.10 -1         |         Original size  |  Serial-Correlation    | -0.67652	<---
lzo1c 2.10 -1         |       Compressed size  |  Ratio                 | +0.38956
lzo1c 2.10 -1         |       Compressed size  |  File-bits             | +0.99605	<===
lzo1c 2.10 -1         |       Compressed size  |  Entropy               | +0.73488	<---
lzo1c 2.10 -1         |       Compressed size  |  Chi-square            | +0.95841	<===
lzo1c 2.10 -1         |       Compressed size  |  Mean                  | +0.74872	<---
lzo1c 2.10 -1         |       Compressed size  |  Monte-Carlo-Pi        | -0.62088	<---
lzo1c 2.10 -1         |       Compressed size  |  Serial-Correlation    | -0.62902	<---
lzo1c 2.10 -1         |                 Ratio  |  File-bits             | +0.32920
lzo1c 2.10 -1         |                 Ratio  |  Entropy               | +0.66659	<---
lzo1c 2.10 -1         |                 Ratio  |  Chi-square            | +0.24876
lzo1c 2.10 -1         |                 Ratio  |  Mean                  | +0.66830	<---
lzo1c 2.10 -1         |                 Ratio  |  Monte-Carlo-Pi        | -0.94205	<===
lzo1c 2.10 -1         |                 Ratio  |  Serial-Correlation    | +0.09078
lzo1c 2.10 -1         |             File-bits  |  Entropy               | +0.72590	<---
lzo1c 2.10 -1         |             File-bits  |  Chi-square            | +0.97350	<===
lzo1c 2.10 -1         |             File-bits  |  Mean                  | +0.73784	<---
lzo1c 2.10 -1         |             File-bits  |  Monte-Carlo-Pi        | -0.56564	<---
lzo1c 2.10 -1         |             File-bits  |  Serial-Correlation    | -0.67652	<---
lzo1c 2.10 -1         |               Entropy  |  Chi-square            | +0.63992	<---
lzo1c 2.10 -1         |               Entropy  |  Mean                  | +0.99878	<===
lzo1c 2.10 -1         |               Entropy  |  Monte-Carlo-Pi        | -0.77221	<---
lzo1c 2.10 -1         |               Entropy  |  Serial-Correlation    | -0.61294	<---
lzo1c 2.10 -1         |            Chi-square  |  Mean                  | +0.64516	<---
lzo1c 2.10 -1         |            Chi-square  |  Monte-Carlo-Pi        | -0.46300
lzo1c 2.10 -1         |            Chi-square  |  Serial-Correlation    | -0.69981	<---
lzo1c 2.10 -1         |                  Mean  |  Monte-Carlo-Pi        | -0.78117	<---
lzo1c 2.10 -1         |                  Mean  |  Serial-Correlation    | -0.60775	<---
lzo1c 2.10 -1         |        Monte-Carlo-Pi  |  Serial-Correlation    | +0.06090
lzof 2.10 -1          |     Compression speed  |  Decompression speed   | +0.97924	<===
lzof 2.10 -1          |     Compression speed  |  Original size         | -0.32416
lzof 2.10 -1          |     Compression speed  |  Compressed size       | -0.39148
lzof 2.10 -1          |     Compression speed  |  Ratio                 | -0.97301	<===
lzof 2.10 -1          |     Compression speed  |  File-bits             | -0.32416
lzof 2.10 -1          |     Compression speed  |  Entropy               | -0.60308	<---
lzof 2.10 -1          |     Compression speed  |  Chi-square            | -0.21806
lzof 2.10 -1          |     Compression speed  |  Mean                  | -0.61209	<---
lzof 2.10 -1          |     Compression speed  |  Monte-Carlo-Pi        | +0.94523	<===
lzof 2.10 -1          |     Compression speed  |  Serial-Correlation    | -0.19692
lzof 2.10 -1          |   Decompression speed  |  Original size         | -0.36392
lzof 2.10 -1          |   Decompression speed  |  Compressed size       | -0.43413
lzof 2.10 -1          |   Decompression speed  |  Ratio                 | -0.93720	<===
lzof 2.10 -1          |   Decompression speed  |  File-bits             | -0.36392
lzof 2.10 -1          |   Decompression speed  |  Entropy               | -0.62215	<---
lzof 2.10 -1          |   Decompression speed  |  Chi-square            | -0.22995
lzof 2.10 -1          |   Decompression speed  |  Mean                  | -0.63653	<---
lzof 2.10 -1          |   Decompression speed  |  Monte-Carlo-Pi        | +0.95165	<===
lzof 2.10 -1          |   Decompression speed  |  Serial-Correlation    | -0.17146
lzof 2.10 -1          |         Original size  |  Compressed size       | +0.99576	<===
lzof 2.10 -1          |         Original size  |  Ratio                 | +0.33407
lzof 2.10 -1          |         Original size  |  File-bits             | +1.00000	<===
lzof 2.10 -1          |         Original size  |  Entropy               | +0.72590	<---
lzof 2.10 -1          |         Original size  |  Chi-square            | +0.97350	<===
lzof 2.10 -1          |         Original size  |  Mean                  | +0.73784	<---
lzof 2.10 -1          |         Original size  |  Monte-Carlo-Pi        | -0.56564	<---
lzof 2.10 -1          |         Original size  |  Serial-Correlation    | -0.67652	<---
lzof 2.10 -1          |       Compressed size  |  Ratio                 | +0.39668
lzof 2.10 -1          |       Compressed size  |  File-bits             | +0.99576	<===
lzof 2.10 -1          |       Compressed size  |  Entropy               | +0.73503	<---
lzof 2.10 -1          |       Compressed size  |  Chi-square            | +0.95743	<===
lzof 2.10 -1          |       Compressed size  |  Mean                  | +0.74899	<---
lzof 2.10 -1          |       Compressed size  |  Monte-Carlo-Pi        | -0.62246	<---
lzof 2.10 -1          |       Compressed size  |  Serial-Correlation    | -0.62720	<---
lzof 2.10 -1          |                 Ratio  |  File-bits             | +0.33407
lzof 2.10 -1          |                 Ratio  |  Entropy               | +0.66885	<---
lzof 2.10 -1          |                 Ratio  |  Chi-square            | +0.25013
lzof 2.10 -1          |                 Ratio  |  Mean                  | +0.67136	<---
lzof 2.10 -1          |                 Ratio  |  Monte-Carlo-Pi        | -0.94607	<===
lzof 2.10 -1          |                 Ratio  |  Serial-Correlation    | +0.09308
lzof 2.10 -1          |             File-bits  |  Entropy               | +0.72590	<---
lzof 2.10 -1          |             File-bits  |  Chi-square            | +0.97350	<===
lzof 2.10 -1          |             File-bits  |  Mean                  | +0.73784	<---
lzof 2.10 -1          |             File-bits  |  Monte-Carlo-Pi        | -0.56564	<---
lzof 2.10 -1          |             File-bits  |  Serial-Correlation    | -0.67652	<---
lzof 2.10 -1          |               Entropy  |  Chi-square            | +0.63992	<---
lzof 2.10 -1          |               Entropy  |  Mean                  | +0.99878	<===
lzof 2.10 -1          |               Entropy  |  Monte-Carlo-Pi        | -0.77221	<---
lzof 2.10 -1          |               Entropy  |  Serial-Correlation    | -0.61294	<---
lzof 2.10 -1          |            Chi-square  |  Mean                  | +0.64516	<---
lzof 2.10 -1          |            Chi-square  |  Monte-Carlo-Pi        | -0.46300
lzof 2.10 -1          |            Chi-square  |  Serial-Correlation    | -0.69981	<---
lzof 2.10 -1          |                  Mean  |  Monte-Carlo-Pi        | -0.78117	<---
lzof 2.10 -1          |                  Mean  |  Serial-Correlation    | -0.60775	<---
lzof 2.10 -1          |        Monte-Carlo-Pi  |  Serial-Correlation    | +0.06090
lzo1x 2.10 -1         |     Compression speed  |  Decompression speed   | +0.93593	<===
lzo1x 2.10 -1         |     Compression speed  |  Original size         | -0.56780	<---
lzo1x 2.10 -1         |     Compression speed  |  Compressed size       | -0.62047	<---
lzo1x 2.10 -1         |     Compression speed  |  Ratio                 | -0.92366	<===
lzo1x 2.10 -1         |     Compression speed  |  File-bits             | -0.56780	<---
lzo1x 2.10 -1         |     Compression speed  |  Entropy               | -0.77676	<---
lzo1x 2.10 -1         |     Compression speed  |  Chi-square            | -0.48167
lzo1x 2.10 -1         |     Compression speed  |  Mean                  | -0.78334	<---
lzo1x 2.10 -1         |     Compression speed  |  Monte-Carlo-Pi        | +0.98374	<===
lzo1x 2.10 -1         |     Compression speed  |  Serial-Correlation    | +0.08719
lzo1x 2.10 -1         |   Decompression speed  |  Original size         | -0.37256
lzo1x 2.10 -1         |   Decompression speed  |  Compressed size       | -0.44109
lzo1x 2.10 -1         |   Decompression speed  |  Ratio                 | -0.91282	<===
lzo1x 2.10 -1         |   Decompression speed  |  File-bits             | -0.37256
lzo1x 2.10 -1         |   Decompression speed  |  Entropy               | -0.63795	<---
lzo1x 2.10 -1         |   Decompression speed  |  Chi-square            | -0.23173
lzo1x 2.10 -1         |   Decompression speed  |  Mean                  | -0.65251	<---
lzo1x 2.10 -1         |   Decompression speed  |  Monte-Carlo-Pi        | +0.95124	<===
lzo1x 2.10 -1         |   Decompression speed  |  Serial-Correlation    | -0.14877
lzo1x 2.10 -1         |         Original size  |  Compressed size       | +0.99609	<===
lzo1x 2.10 -1         |         Original size  |  Ratio                 | +0.26051
lzo1x 2.10 -1         |         Original size  |  File-bits             | +1.00000	<===
lzo1x 2.10 -1         |         Original size  |  Entropy               | +0.72590	<---
lzo1x 2.10 -1         |         Original size  |  Chi-square            | +0.97350	<===
lzo1x 2.10 -1         |         Original size  |  Mean                  | +0.73784	<---
lzo1x 2.10 -1         |         Original size  |  Monte-Carlo-Pi        | -0.56564	<---
lzo1x 2.10 -1         |         Original size  |  Serial-Correlation    | -0.67652	<---
lzo1x 2.10 -1         |       Compressed size  |  Ratio                 | +0.32417
lzo1x 2.10 -1         |       Compressed size  |  File-bits             | +0.99609	<===
lzo1x 2.10 -1         |       Compressed size  |  Entropy               | +0.73554	<---
lzo1x 2.10 -1         |       Compressed size  |  Chi-square            | +0.95861	<===
lzo1x 2.10 -1         |       Compressed size  |  Mean                  | +0.74932	<---
lzo1x 2.10 -1         |       Compressed size  |  Monte-Carlo-Pi        | -0.62110	<---
lzo1x 2.10 -1         |       Compressed size  |  Serial-Correlation    | -0.62965	<---
lzo1x 2.10 -1         |                 Ratio  |  File-bits             | +0.26051
lzo1x 2.10 -1         |                 Ratio  |  Entropy               | +0.62055	<---
lzo1x 2.10 -1         |                 Ratio  |  Chi-square            | +0.17732
lzo1x 2.10 -1         |                 Ratio  |  Mean                  | +0.62211	<---
lzo1x 2.10 -1         |                 Ratio  |  Monte-Carlo-Pi        | -0.92078	<===
lzo1x 2.10 -1         |                 Ratio  |  Serial-Correlation    | +0.15243
lzo1x 2.10 -1         |             File-bits  |  Entropy               | +0.72590	<---
lzo1x 2.10 -1         |             File-bits  |  Chi-square            | +0.97350	<===
lzo1x 2.10 -1         |             File-bits  |  Mean                  | +0.73784	<---
lzo1x 2.10 -1         |             File-bits  |  Monte-Carlo-Pi        | -0.56564	<---
lzo1x 2.10 -1         |             File-bits  |  Serial-Correlation    | -0.67652	<---
lzo1x 2.10 -1         |               Entropy  |  Chi-square            | +0.63992	<---
lzo1x 2.10 -1         |               Entropy  |  Mean                  | +0.99878	<===
lzo1x 2.10 -1         |               Entropy  |  Monte-Carlo-Pi        | -0.77221	<---
lzo1x 2.10 -1         |               Entropy  |  Serial-Correlation    | -0.61294	<---
lzo1x 2.10 -1         |            Chi-square  |  Mean                  | +0.64516	<---
lzo1x 2.10 -1         |            Chi-square  |  Monte-Carlo-Pi        | -0.46300
lzo1x 2.10 -1         |            Chi-square  |  Serial-Correlation    | -0.69981	<---
lzo1x 2.10 -1         |                  Mean  |  Monte-Carlo-Pi        | -0.78117	<---
lzo1x 2.10 -1         |                  Mean  |  Serial-Correlation    | -0.60775	<---
lzo1x 2.10 -1         |        Monte-Carlo-Pi  |  Serial-Correlation    | +0.06090
lzo1y 2.10 -1         |     Compression speed  |  Decompression speed   | +0.91613	<===
lzo1y 2.10 -1         |     Compression speed  |  Original size         | -0.56299	<---
